㑇	zhou
㑌	kuang
㑩	luo
㑳	zhou
㒓	ta
㓦	bai
㔉	zhu
㔚	jie
㕑	chu
㕜	shi
㕠	shuang
㕶	n
㖊	xun
㖞	wai
㗄	ku
㗏	wai
㗑	bai
㘄	leng
㘆	tai
㘎	han
㘗	qu
㘥	you
㘭	ao
㘱	tan
㘵	bu
㙘	yao
㙟	lang
㙦	xie
㚁	qiao
㚢	nu
㚻	ji
㛃	jie
㝃	mian
㝡	zui
㝿	bo
㞎	ba
㞗	qiu
㞘	du
㞞	song
㟂	mu
㟖	long
㟤	lu
㟷	da
㠄	xi
㠯	yi
㠾	yuan
㡑	qiao
㡓	kun
㡠	zheng
㡡	chu
㡧	zheng
㤅	ai
㤘	zhou
㤥	hai
㥏	tian
㥦	qie
㥮	zhou
㥵	hun
㧀	ji
㧏	gang
㧐	song
㧑	hui
㧟	kuai
㨄	zhou
㨗	jie
㨘	xing
㨪	huang
㩋	xiao
㩐	den
㩙	sai
㩟	zhai
㩳	song
㪍	bo
㪺	ju
㫰	lang
㬉	nuan
㬊	huan
㬎	xian
㬟	fen
㬤	qi
㭎	gang
㮣	gai
㮾	lang
㯭	lu
㯳	qing
㰍	long
㱃	yin
㱮	hui
㲄	jue
㲓	rong
㲲	die
㳂	yan
㳇	fu
㳠	ta
㴩	yong
㵐	jue
㵲	wu
㶁	guo
㶉	xi
㶑	lian
㶟	lei
㷟	tui
㹎	lei
㹢	jia
㹭	yi
㺀	hu
㺄	yu
㺅	hou
㺢	huo
㻫	bi
㼈	luo
㽁	li
㽏	gan
㽘	gang
㾹	chai
䀇	gu
䀉	qiao
䀌	xi
䀦	gu
䁖	lou
䂫	hang
䃅	di
䃉	min
䃎	zha
䃘	keng
䃠	xuan
䃰	ca
䄍	zha
䄻	tao
䅟	can
䇭	lao
䇲	ce
䇽	zhe
䈎	ye
䉬	fei
䉲	mi
䉵	zhuan
䊪	li
䌷	chou
䌹	jiong
䍉	zhai
䍡	lu
䎱	ba
䏝	zhuan
䏿	qi
䐛	da
䑲	zhao
䑽	ta
䒣	ran
䒷	gua
䒿	liao
䓖	qiong
䓨	ying
䔛	qing
䕭	qian
䕷	mi
䖏	chu
䖮	xiang
䖳	zha
䗖	di
䗛	xiu
䗪	zhe
䗻	jie
䘌	ni
䘕	hang
䘮	sang
䙌	kui
䜺	chai
䝋	zong
䝟	ya
䞍	qing
䞓	cheng
䟡	zhi
䠀	tang
䠊	fei
䠱	zhu
䢺	chu
䤌	qiang
䤨	pi
䥇	shan
䥽	po
䦃	zhuo
䦆	jue
䦶	zheng
䦷	chuai
䧡	yong
䨦	pang
䩄	mian
䩬	beng
䩺	weng
䪍	lan
䫈	chen
䯄	gua
䯧	qing
䯼	di
䰀	wo
䰖	zuan
䰛	li
䱷	yu
䲟	yin
䲠	chun
䲢	teng
䳘	e
䴓	shi
䴔	jiao
䴕	lie
䴖	jing
䴗	ju
䴘	ti
䴙	pi
䴚	gang
䴥	jia
䴸	fu
䵚	tao
䶊	nü
䶧	yao
䶮	yan
䶸	yao
一	yi
丁	ding
七	qi
万	mo
丈	zhang
三	san
上	shang
下	xia
不	bu
与	yu
丏	mian
丐	gai
丑	chou
专	zhuan
且	ju
丕	pi
世	shi
丘	qiu
丙	bing
业	ye
丛	cong
东	dong
丝	si
丞	cheng
丟	diu
丢	diu
两	liang
严	yan
並	bing
丧	sang
个	ge
丫	ya
中	zhong
丰	feng
丱	guan
串	chuan
临	lin
丸	wan
丹	dan
为	wei
主	zhu
丽	li
举	ju
乂	yi
乃	nai
久	jiu
乇	tuo
么	ma
义	yi
之	zhi
乌	wu
乍	zha
乎	hu
乏	fa
乐	le
乒	ping
乓	pang
乔	qiao
乖	guai
乘	cheng
乙	yi
乜	mie
九	jiu
乞	qi
也	ye
习	xi
乡	xiang
书	shu
乩	ji
买	mai
乱	luan
乳	ru
乸	na
乾	gan
亂	luan
